"state","numcol","yieldpercol","totalprod","stocks","priceperlb","prodvalue","year"
"AZ",40000,59,2360000,1322000,0.73,1723000,"2000"
"AR",52000,93,4836000,3337000,0.57,2757000,"2000"
"CA",440000,70,30800000,11396000,0.59,18172000,"2000"
"CO",29000,60,1740000,957000,0.62,1079000,"2000"
"FL",232000,105,24360000,2923000,0.54,13154000,"2000"
"GA",55000,57,3135000,376000,0.63,1975000,"2000"
"HI",7000,112,784000,125000,0.82,643000,"2000"
"ID",1e+05,47,4700000,2679000,0.52,2444000,"2000"
"IL",8000,61,488000,146000,1.17,571000,"2000"
"IN",8000,65,520000,286000,1.03,536000,"2000"
"IA",30000,67,2010000,1206000,0.68,1367000,"2000"
"KS",15000,68,1020000,520000,0.91,928000,"2000"
"KY",4000,48,192000,54000,1.35,259000,"2000"
"LA",43000,94,4042000,1334000,0.52,2102000,"2000"
"ME",11000,21,231000,143000,0.75,173000,"2000"
"MD",6000,46,276000,52000,1.14,315000,"2000"
"MI",72000,75,5400000,2970000,0.6,3240000,"2000"
"MN",150000,90,13500000,3105000,0.57,7695000,"2000"
"MS",17000,72,1224000,649000,0.69,845000,"2000"
"MO",23000,75,1725000,362000,0.6,1035000,"2000"
"MT",124000,88,10912000,4692000,0.59,6438000,"2000"
"NE",50000,87,4350000,2610000,0.59,2567000,"2000"
"NV",10000,35,350000,95000,1.45,508000,"2000"
"NJ",11000,35,385000,2e+05,0.61,235000,"2000"
"NM",15000,64,960000,739000,0.72,691000,"2000"
"NY",58000,80,4640000,2274000,0.55,2552000,"2000"
"NC",11000,49,539000,243000,1.43,771000,"2000"
"ND",3e+05,115,34500000,13800000,0.57,19665000,"2000"
"OH",18000,65,1170000,585000,0.79,924000,"2000"
"OK",7000,35,245000,64000,1.26,309000,"2000"
"OR",48000,51,2448000,1665000,0.66,1616000,"2000"
"PA",25000,45,1125000,630000,0.76,855000,"2000"
"SD",235000,121,28435000,12796000,0.58,16492000,"2000"
"TN",9000,61,549000,104000,1.43,785000,"2000"
"TX",105000,79,8295000,2986000,0.57,4728000,"2000"
"UT",24000,41,984000,462000,0.6,590000,"2000"
"VT",7000,59,413000,211000,0.68,281000,"2000"
"VA",7000,42,294000,103000,1.5,441000,"2000"
"WA",52000,54,2808000,1151000,0.58,1629000,"2000"
"WV",7000,54,378000,234000,1.22,461000,"2000"
"WI",84000,90,7560000,4385000,0.68,5141000,"2000"
"WY",39000,93,3627000,798000,0.59,2140000,"2000"
"AL",14000,73,1022000,235000,0.72,736000,"2001"
"AZ",43000,59,2537000,1142000,0.72,1827000,"2001"
"AR",50000,98,4900000,1617000,0.65,3185000,"2001"
"CA",460000,61,28060000,7857000,0.69,19361000,"2001"
"CO",26000,55,1430000,529000,0.71,1015000,"2001"
"FL",220000,100,2.2e+07,3432000,0.64,14080000,"2001"
"GA",55000,57,3135000,188000,0.7,2195000,"2001"
"HI",8000,87,696000,84000,0.87,606000,"2001"
"ID",1e+05,46,4600000,1610000,0.67,3082000,"2001"
"IL",6000,76,456000,251000,1.58,720000,"2001"
"IN",7000,76,532000,186000,0.92,489000,"2001"
"IA",33000,51,1683000,875000,0.75,1262000,"2001"
"KS",13000,51,663000,530000,0.96,636000,"2001"
"KY",4000,78,312000,125000,1.41,440000,"2001"
"LA",45000,106,4770000,572000,0.6,2862000,"2001"
"ME",11000,20,220000,106000,0.79,174000,"2001"
"MD",4000,46,184000,55000,1.6,294000,"2001"
"MI",76000,60,4560000,2827000,0.81,3694000,"2001"
"MN",135000,81,10935000,1859000,0.65,7108000,"2001"
"MS",17000,66,1122000,224000,0.89,999000,"2001"
"MO",22000,61,1342000,336000,0.71,953000,"2001"
"MT",136000,102,13872000,4578000,0.67,9294000,"2001"
"NE",43000,48,2064000,1115000,0.72,1486000,"2001"
"NV",9000,50,450000,36000,2.14,963000,"2001"
"NJ",11000,34,374000,71000,0.85,318000,"2001"
"NM",10000,70,7e+05,350000,0.66,462000,"2001"
"NY",53000,70,3710000,1781000,0.79,2931000,"2001"
"NC",13000,44,572000,172000,1.48,847000,"2001"
"ND",280000,96,26880000,9408000,0.69,18547000,"2001"
"OH",18000,81,1458000,569000,1.01,1473000,"2001"
"OK",4000,47,188000,105000,1.43,269000,"2001"
"OR",44000,44,1936000,1200000,0.74,1433000,"2001"
"PA",26000,57,1482000,785000,0.92,1363000,"2001"
"SC",7000,40,280000,67000,0.79,221000,"2001"
"SD",235000,65,15275000,12220000,0.71,10845000,"2001"
"TN",8000,59,472000,131000,1.39,656000,"2001"
"TX",97000,79,7663000,1533000,0.65,4981000,"2001"
"UT",23000,38,874000,315000,0.65,568000,"2001"
"VT",7000,81,567000,249000,0.92,522000,"2001"
"VA",9000,52,468000,94000,1.26,590000,"2001"
"WA",48000,52,2496000,1048000,0.72,1797000,"2001"
"WV",7000,65,455000,410000,1.42,646000,"2001"
"WI",67000,81,5427000,3419000,0.82,4450000,"2001"
"WY",38000,77,2926000,468000,0.65,1902000,"2001"
"AL",12000,86,1032000,103000,1.18,1218000,"2002"
"AZ",38000,63,2394000,1197000,1.08,2586000,"2002"
"AR",45000,88,3960000,871000,1.26,4990000,"2002"
"CA",470000,50,23500000,3525000,1.32,31020000,"2002"
"CO",24000,60,1440000,576000,1.29,1858000,"2002"
"FL",220000,93,20460000,2026000,1.14,23324000,"2002"
"GA",50000,52,2600000,52000,1.13,2938000,"2002"
"HI",7000,136,952000,29000,1.11,1057000,"2002"
"ID",1e+05,57,5700000,1653000,1.37,7809000,"2002"
"IL",9000,80,720000,130000,1.47,1058000,"2002"
"IN",8000,62,496000,233000,1.19,590000,"2002"
"IA",33000,70,2310000,901000,1.43,3303000,"2002"
"KS",17000,52,884000,407000,1.5,1326000,"2002"
"KY",5000,54,270000,78000,1.63,440000,"2002"
"LA",35000,124,4340000,347000,1.16,5034000,"2002"
"ME",11000,41,451000,266000,1.21,546000,"2002"
"MD",3000,46,138000,21000,1.96,270000,"2002"
"MI",72000,77,5544000,1885000,1.4,7762000,"2002"
"MN",117000,73,8541000,1110000,1.47,12555000,"2002"
"MS",18000,78,1404000,281000,1.23,1727000,"2002"
"MO",18000,50,9e+05,189000,1.42,1278000,"2002"
"MT",134000,63,8442000,1097000,1.38,11650000,"2002"
"NE",43000,75,3225000,1161000,1.49,4805000,"2002"
"NV",9000,62,558000,61000,2.67,1490000,"2002"
"NJ",11000,40,440000,92000,1,440000,"2002"
"NM",11000,44,484000,252000,1.1,532000,"2002"
"NY",60000,98,5880000,2470000,1.25,7350000,"2002"
"NC",16000,42,672000,74000,1.41,948000,"2002"
"ND",320000,75,2.4e+07,8160000,1.46,35040000,"2002"
"OH",18000,70,1260000,504000,1.44,1814000,"2002"
"OK",3000,53,159000,51000,1.63,259000,"2002"
"OR",43000,49,2107000,885000,1.35,2844000,"2002"
"PA",29000,57,1653000,827000,1.34,2215000,"2002"
"SC",5000,94,470000,14000,1.25,588000,"2002"
"SD",225000,51,11475000,2410000,1.42,16295000,"2002"
"TN",8000,61,488000,137000,1.4,683000,"2002"
"TX",114000,67,7638000,985000,1.14,8707000,"2002"
"UT",22000,59,1298000,208000,1.3,1687000,"2002"
"VT",7000,89,623000,274000,1.2,748000,"2002"
"VA",8000,38,304000,79000,1.9,578000,"2002"
"WA",50000,51,2550000,561000,1.27,3239000,"2002"
"WV",9000,51,459000,151000,1.32,606000,"2002"
"WI",70000,95,6650000,2461000,1.34,8911000,"2002"
"WY",38000,63,2394000,383000,1.33,3184000,"2002"
